1,bud light
2,Budweiser
3,Coors Light
4,Miller Lite
5,Natural Light
6,Busch Light
7,Busch
8,Michelob Ultra Light
9,Miller High Life
10,Keystone Light
11,Natural Ice
12,Bud Light Lime
13,IceHouse
14,Pabst Blue Ribbon
15,Bud Ice
16,Yuengling Traditional Lager
17,Bud Light Platinum
18,Steel Reserve 211 (High Gravity)
19,Blue Moon Belgian White
20,Coors
21,Dale's Pale Ale
22,lagunitas ipa
23,shiner light
40,Corona Extra
41,Heineken
42,Beck's
43,Modelo Especial
44,Samuel Adams Boston Lager
45,Guinness Stout
46,Newcastle Brown Ale
47,Sierra Nevada Pale Ale
48,Blue Moon Belgian White
49,Yuengling Traditional Lager
